,0,1,2,Count,Percentage,Answer_te,Segment Description
0,0.0,0.0,1.0,0.0,0.0,0.06794750501088814,0.749208025343189
1,0.0,0.0,1.0,0.0,0.0,0.049026880754754136,0.749208025343189
2,0.0,0.0,0.0,499.17360599999984,0.225254764,0.14417459775380806,0.749208025343189
3,0.0,0.0,1.0,0.0,0.0,0.4785071600793167,0.749208025343189
4,0.0,0.0,0.0,455.92596299999997,0.211359792,0.08149645139150337,0.749208025343189
5,0.0,0.0,0.0,1091.176696,0.519163319,0.19199741889409735,0.749208025343189
6,0.0,0.0,1.0,0.0,0.0,0.37611479653103785,0.749208025343189
7,0.0,1.0,0.0,1.0,0.333,0.4395695792917476,0.0005279831045406547
8,1.0,0.0,0.0,878.0804632999998,0.22803111,0.5818155865805598,0.749208025343189
9,0.0,0.0,1.0,0.0,0.0,0.6032274474023147,0.749208025343189
10,0.0,0.0,1.0,0.0,0.0,0.46735117329342796,0.749208025343189
11,0.0,0.0,0.0,445.4963738,0.271811915,0.2582284452805269,0.749208025343189
12,0.0,0.0,0.0,1118.156938,0.4345123179999999,0.19121942542884235,0.749208025343189
13,0.0,0.0,1.0,0.0,0.0,0.4169422369139643,0.749208025343189
14,0.0,0.0,0.0,985.6569693,0.507626495,0.5900502551911636,0.749208025343189
15,1.0,0.0,0.0,1411.0228220000001,0.366268718,0.4644568909524246,0.749208025343189
16,0.0,0.0,0.0,523.0411783,0.30820162100000004,0.4659586312660921,0.749208025343189
17,0.0,0.0,1.0,0.0,0.0,0.14966225434713082,0.749208025343189
18,0.0,1.0,0.0,71.0,0.563,0.0187789310334488,0.0005279831045406547
19,0.0,1.0,0.0,8.497077758,0.19354454899999998,0.3400079483240921,0.0031678986272439284
20,0.0,0.0,1.0,0.0,0.0,0.10765825403912503,0.749208025343189
21,0.0,1.0,0.0,0.0,0.0,0.25128475238256176,0.0015839493136219642
22,1.0,0.0,0.0,796.7761546,0.22849417100000002,0.3689831237929316,0.749208025343189
23,1.0,0.0,0.0,1774.3925239999999,0.46052161,0.0393484390962619,0.749208025343189
24,0.0,0.0,0.0,566.0816207,0.266645332,0.3225441794531794,0.749208025343189
25,0.0,0.0,0.0,549.8374428999998,0.282329365,0.031279909838174635,0.749208025343189
26,0.0,0.0,1.0,0.0,0.0,0.051730297934846466,0.749208025343189
27,0.0,0.0,0.0,489.23807,0.25296098100000003,0.5228287320273372,0.749208025343189
28,0.0,0.0,1.0,0.0,0.0,0.4910275687096878,0.749208025343189
29,1.0,0.0,0.0,823.6773447,0.466830299,0.4488762142548311,0.749208025343189
30,0.0,1.0,0.0,8.0,0.32,0.3055310117487178,0.0015839493136219642
31,0.0,1.0,0.0,26.12029246,0.27989769600000003,0.46557516280348904,0.004223864836325237
32,0.0,0.0,0.0,544.8012092,0.28719193600000004,0.4229233135102554,0.749208025343189
33,0.0,1.0,0.0,4.900332843999999,0.5,0.2982998360513016,0.0031678986272439284
34,0.0,0.0,1.0,0.0,0.0,0.38354086686544137,0.749208025343189
35,0.0,1.0,0.0,0.0,0.0,0.33553938094313746,0.0010559662090813093
36,0.0,0.0,0.0,507.7741982,0.309961158,0.40640050195548416,0.749208025343189
37,0.0,1.0,0.0,4.36114724,0.323161887,0.8269168354543521,0.004223864836325237
38,0.0,0.0,0.0,525.2722908,0.30604744300000003,0.17038779069356638,0.749208025343189
39,1.0,0.0,0.0,796.2071312,0.283133154,0.5616396406340219,0.749208025343189
40,0.0,1.0,0.0,3.0,0.5,0.07773059417180732,0.0010559662090813093
41,0.0,0.0,0.0,415.3851487,0.253366819,0.1877069452452281,0.749208025343189
42,0.0,0.0,1.0,0.0,0.0,0.33623775613193696,0.749208025343189
43,0.0,1.0,0.0,0.0,0.0,0.7170065641862464,0.0015839493136219642
44,1.0,0.0,0.0,795.9627904,0.306595346,0.3076591409433383,0.749208025343189
